run_id,seed,test_ratio,negative_strategy,negatives_per_source,k,algorithm,sources_evaluated,precision_at_k,hit_rate_at_k,mrr,positive_candidates,negative_candidates,runtime_seconds
seed7_degree_matched,7,0.2,degree_matched,100,20,target_indegree,3728,0.049195,0.511266,0.156486,20867,372800,0.126862
seed7_hard_2hop,7,0.2,hard_2hop,100,1,common_neighbors,3728,0.344957,0.344957,0.458255,20867,372800,0.289331
seed7_hard_2hop,7,0.2,hard_2hop,100,3,common_neighbors,3728,0.293991,0.512339,0.458255,20867,372800,0.289331
seed7_hard_2hop,7,0.2,hard_2hop,100,5,common_neighbors,3728,0.265343,0.590665,0.458255,20867,372800,0.289331
seed7_hard_2hop,7,0.2,hard_2hop,100,10,common_neighbors,3728,0.220011,0.683745,0.458255,20867,372800,0.289331
seed7_hard_2hop,7,0.2,hard_2hop,100,20,common_neighbors,3728,0.16596,0.738197,0.458255,20867,372800,0.289331
seed7_hard_2hop,7,0.2,hard_2hop,100,1,jaccard,3728,0.248927,0.248927,0.371113,20867,372800,0.859376
seed7_hard_2hop,7,0.2,hard_2hop,100,3,jaccard,3728,0.242132,0.411212,0.371113,20867,372800,0.859376
seed7_hard_2hop,7,0.2,hard_2hop,100,5,jaccard,3728,0.231438,0.505901,0.371113,20867,372800,0.859376
seed7_hard_2hop,7,0.2,hard_2hop,100,10,jaccard,3728,0.206545,0.645923,0.371113,20867,372800,0.859376
seed7_hard_2hop,7,0.2,hard_2hop,100,20,jaccard,3728,0.163801,0.732833,0.371113,20867,372800,0.859376
seed7_hard_2hop,7,0.2,hard_2hop,100,1,adamic_adar,3728,0.350054,0.350054,0.466153,20867,372800,0.404122
seed7_hard_2hop,7,0.2,hard_2hop,100,3,adamic_adar,3728,0.299982,0.528433,0.466153,20867,372800,0.404122
seed7_hard_2hop,7,0.2,hard_2hop,100,5,adamic_adar,3728,0.270279,0.606223,0.466153,20867,372800,0.404122
seed7_hard_2hop,7,0.2,hard_2hop,100,10,adamic_adar,3728,0.221727,0.688573,0.466153,20867,372800,0.404122
seed7_hard_2hop,7,0.2,hard_2hop,100,20,adamic_adar,3728,0.166054,0.73927,0.466153,20867,372800,0.404122
seed7_hard_2hop,7,0.2,hard_2hop,100,1,personalized_pagerank,3728,0.367221,0.367221,0.490551,20867,372800,13.099702
seed7_hard_2hop,7,0.2,hard_2hop,100,3,personalized_pagerank,3728,0.306956,0.559013,0.490551,20867,372800,13.099702
seed7_hard_2hop,7,0.2,hard_2hop,100,5,personalized_pagerank,3728,0.276341,0.633852,0.490551,20867,372800,13.099702
seed7_hard_2hop,7,0.2,hard_2hop,100,10,personalized_pagerank,3728,0.2239,0.722103,0.490551,20867,372800,13.099702
seed7_hard_2hop,7,0.2,hard_2hop,100,20,personalized_pagerank,3728,0.167127,0.796406,0.490551,20867,372800,13.099702
seed7_hard_2hop,7,0.2,hard_2hop,100,1,resource_allocation,3728,0.338251,0.338251,0.456301,20867,372800,0.386129
seed7_hard_2hop,7,0.2,hard_2hop,100,3,resource_allocation,3728,0.289074,0.520386,0.456301,20867,372800,0.386129
seed7_hard_2hop,7,0.2,hard_2hop,100,5,resource_allocation,3728,0.260837,0.597103,0.456301,20867,372800,0.386129
seed7_hard_2hop,7,0.2,hard_2hop,100,10,resource_allocation,3728,0.216094,0.686427,0.456301,20867,372800,0.386129
seed7_hard_2hop,7,0.2,hard_2hop,100,20,resource_allocation,3728,0.162782,0.737929,0.456301,20867,372800,0.386129
seed7_hard_2hop,7,0.2,hard_2hop,100,1,preferential_attachment,3728,0.206277,0.206277,0.340772,20867,372800,0.167961
seed7_hard_2hop,7,0.2,hard_2hop,100,3,preferential_attachment,3728,0.195547,0.388948,0.340772,20867,372800,0.167961
seed7_hard_2hop,7,0.2,hard_2hop,100,5,preferential_attachment,3728,0.184603,0.483906,0.340772,20867,372800,0.167961
seed7_hard_2hop,7,0.2,hard_2hop,100,10,preferential_attachment,3728,0.164646,0.605955,0.340772,20867,372800,0.167961
seed7_hard_2hop,7,0.2,hard_2hop,100,20,preferential_attachment,3728,0.139177,0.746781,0.340772,20867,372800,0.167961
